"","PORT_CODE","PACFIN_PORT_CODE","COUNTY_CODE","PORT_NAME","LATITUDE","LONGITUDE","COUNTY_CODE.1","COUNTY_NAME","STATE"
"159",870,"OSD","SDG","SAN YSIDRO",33.253749999563,-116.571257999957,"SDG","San Diego","CA"
"160",771,"OLA","ORG","SANTA ANA",33.7455299999097,-117.867623999748,"ORG","Orange","CA"
"161",612,"OBV","SBA","SANTA MARIA",34.9208909998199,-120.435925999585,"SBA","Santa Barbara","CA"
"162",655,"OBV","VNT","SANTA PAULA",34.3502949999146,-119.07161299964,"VNT","Ventura","CA"
"163",218,"OHB","HMB","SCOTIA",40.4836980001629,-124.102723999813,"HMB","Humboldt","CA"
"164",760,"OLA","ORG","SEAL BEACH",33.7594790001559,-118.074166999807,"ORG","Orange","CA"
"165",170,"SEA","KNG","SEATTLE",47.6209729998044,-122.347276000287,"KNG","King","WA"
"166",492,"OSM","SON","SEBASTOPOL",38.4020839996771,-122.824191000414,"SON","Sonoma","CA"
"167",629,"OSL","SLO","SHELL BEACH",35.1570250002038,-120.670504000159,"SLO","San Luis Obispo","CA"
"168",444,"OCR","SKM","SKAMANIA",45.617680000332,-122.039725999855,"SKM","Skamania","WA"
"169",203,"ODN","DNT","SMITH RIVER",41.9300780002998,-124.146005000131,"DNT","Del Norte","CA"
"170",895,"OSD","SDG","SOLANA BEACH",32.9918340000392,-117.271731999732,"SDG","San Diego","CA"
"171",645,"OBV","SBA","SOLVANG",34.5960270004458,-120.141082999681,"SBA","Santa Barbara","CA"
"172",301,"OCA","ICA","SONORA",37.9829430000197,-120.382117000299,"ICA","Inland Counties","CA"
"173",702,"OLA","LAX","SOUTH GATE",33.9444239997679,-118.207532000401,"LAX","Los Angeles","CA"
"174",865,"OSD","SDG","SPRING VALLEY",32.7309800000273,-116.971596000355,"SDG","San Diego","CA"
"175",325,"OSF","SOL","SUISUN CITY",38.2430269995965,-121.994770999682,"SOL","Solano","CA"
"176",739,"OLA","LAX","SUNSET BEACH",33.7165030004134,-118.068741999643,"LAX","Los Angeles","CA"
"177",468,"OSM","MRN","SAN RAFAEL",37.9712100003414,-122.528530999706,"MRN","Marin","CA"
"178",469,"SLT","MRN","SAUSALITO",37.8612190002569,-122.489460000179,"MRN","Marin","CA"
"179",470,"OSF","SMT","SOUTH SAN FRANCISCO",37.654660000359,-122.407879999962,"SMT","San Mateo","CA"
"180",471,"ALM","ALM","ALAMEDA",37.7762480001453,-122.276682000374,"ALM","Alameda","CA"
"181",472,"BKL","ALM","BERKELEY",37.8721849996382,-122.268407000083,"ALM","Alameda","CA"
"182",473,"BDG","SON","BODEGA BAY",38.3228430003044,-123.036913000334,"SON","Sonoma","CA"
"183",475,"OSM","SON","SANTA ROSA",38.4456250002938,-122.717692000385,"SON","Sonoma","CA"
"184",476,"RYS","MRN","POINT REYES",NA,NA,"MRN","Marin","CA"
"185",477,"TML","MRN","TOMALES BAY",NA,NA,"MRN","Marin","CA"
"186",478,"RCH","CNC","RICHMOND",37.9301839996921,-122.344820000343,"CNC","Contra Costa","CA"
"187",479,"OSF","SMT","PIGEON POINT",37.1819043848171,-122.394111968514,"SMT","San Mateo","CA"
"188",483,"OSF","SMT","POINT SAN PEDRO",37.5936056189325,-122.518075698475,"SMT","San Mateo","CA"
"189",484,"OSF","ALM","ALBANY",37.8902679998684,-122.298998999804,"ALM","Alameda","CA"
"190",485,"OSF","SFO","FARALLONE IS",NA,NA,"SFO","San Francisco","CA"
"191",486,"OSM","MRN","MILLERTON",38.1089971563495,-122.845143707747,"MRN","Marin","CA"
"192",487,"BOL","MRN","BOLINAS",37.9053359995569,-122.696479999752,"MRN","Marin","CA"
"193",488,"OSM","MRN","MARCONI",38.1429846700905,-122.87618547605,"MRN","Marin","CA"
"194",489,"OSM","SON","JENNER",38.4490859998192,-123.114721000174,"SON","Sonoma","CA"
"195",494,"OSF","SMT","PALO ALTO",37.4373280000874,-122.159927999577,"SMT","San Mateo","CA"
"196",495,"OCA","ICA","CALIFORNIA CITY",35.1853450003717,-117.837938000438,"ICA","Inland Counties","CA"
"197",497,"OSM","MRN","STINSON BEACH",37.8984969998369,-122.639764999555,"MRN","Marin","CA"
"198",499,"OSM","SON","WINDSOR",38.5456440000708,-122.804958000211,"SON","Sonoma","CA"
"199",501,"OCA","ICA","CERES",37.5946999998054,-120.960004000084,"ICA","Inland Counties","CA"
"200",502,"OCM","SCZ","SOQUEL",36.9881320002918,-121.957344999572,"SCZ","Santa Cruz","CA"
"201",503,"OCA","ICA","KINGSBURG",36.5179129995854,-119.556298000152,"ICA","Inland Counties","CA"
"202",504,"OCA","ICA","CLOVIS",36.826570999852,-119.70066499999,"ICA","Inland Counties","CA"
"203",505,"OCA","ICA","LOS BANOS",37.066162999623,-120.842336000306,"ICA","Inland Counties","CA"
"204",507,"OCM","SBT","SAN JUAN BAUTISTA",36.8456579996173,-121.538351000398,"SBT","San Benito","CA"
"205",510,"OCA","ICA","OAKHURST",37.3329669997274,-119.650945000411,"ICA","Inland Counties","CA"
"206",511,"OCM","MTY","BIG SUR",36.2699729997543,-121.80774799957,"MTY","Monterey","CA"
"207",512,"OSL","SLO","SAN MIGUEL",35.7527689996899,-120.696149000176,"SLO","San Luis Obispo","CA"
"208",514,"OCA","ICA","COALINGA",36.1438909995702,-120.356359999614,"ICA","Inland Counties","CA"
"209",515,"OCM","MTY","BIG CREEK",36.0700184050059,-121.599973020158,"MTY","Monterey","CA"
"210",516,"OCM","MTY","MILL CREEK",35.9832016879596,-121.491519743637,"MTY","Monterey","CA"
"211",517,"OCM","MTY","WILLOW CREEK",40.8870120002038,-123.661400999756,"MTY","Monterey","CA"
"212",549,"OCM","MTY","FORT ORD",36.6215017310419,-121.76957836661,"MTY","Monterey","CA"
"213",552,"OCM","SCL","GILROY",37.013449999618,-121.581646999609,"SCL","Santa Clara","CA"
"214",553,"OCM","SCL","MORGAN HILL",37.1252539996726,-121.650001999692,"SCL","Santa Clara","CA"
"215",556,"OCA","ICA","PIXLEY",35.9736119999939,-119.292035000315,"ICA","Inland Counties","CA"
"216",558,"OCA","ICA","FRESNO",36.7433129995954,-119.789382000179,"ICA","Inland Counties","CA"
"217",559,"OCA","ICA","CHOWCHILLA",37.1174129996105,-120.247722999916,"ICA","Inland Counties","CA"
"218",560,"OCA","ICA","DOS PALOS",36.9860709996771,-120.635566999717,"ICA","Inland Counties","CA"
"219",581,"OCM","SBT","HOLLISTER",36.8566789997362,-121.40207000023,"SBT","San Benito","CA"
"220",584,"OCM","MTY","LUCIA",36.0206380003435,-121.54666499979,"MTY","Monterey","CA"
"221",585,"OCM","MTY","PEBBLE BEACH",36.5867840000818,-121.943354000087,"MTY","Monterey","CA"
"222",586,"OCM","MTY","POINT LOBOS",36.5171000000001,-121.9426,"MTY","Monterey","CA"
"223",588,"OCM","MTY","SEASIDE",36.6216410004321,-121.817303000433,"MTY","Monterey","CA"
"224",589,"OCM","MTY","CARMEL",36.5525479995907,-121.919842999555,"MTY","Monterey","CA"
"225",590,"OCM","MTY","SALINAS",36.6775399998713,-121.656006999623,"MTY","Monterey","CA"
"226",591,"OCM","SCZ","CAPITOLA",36.9786870000053,-121.953123000026,"SCZ","Santa Cruz","CA"
"227",593,"CRZ","SCZ","SANTA CRUZ",36.9779049999161,-122.033316000133,"SCZ","Santa Cruz","CA"
"228",594,"OCM","SCZ","WATSONVILLE",36.9165370000828,-121.771630999571,"SCZ","Santa Cruz","CA"
"229",596,"OCM","SCZ","DAVENPORT",37.0099619997467,-122.192473000329,"SCZ","Santa Cruz","CA"
"230",599,"OCM","SCZ","APTOS",36.9915159998638,-121.894219999653,"SCZ","Santa Cruz","CA"
"231",600,"OBV","SBA","SANTA BARBARA AREA",NA,NA,"SBA","Santa Barbara","CA"
"232",601,"OSL","SLO","ARROYO GRANDE",35.1221039996001,-120.581996999762,"SLO","San Luis Obispo","CA"
"233",602,"AVL","SLO","AVILA",35.1821339997845,-120.732715000197,"SLO","San Luis Obispo","CA"
"234",603,"OSL","SLO","CAYUCOS",35.4421659996613,-120.891209000395,"SLO","San Luis Obispo","CA"
"235",606,"MRO","SLO","MORRO BAY",35.3718419996087,-120.850634999905,"SLO","San Luis Obispo","CA"
"236",607,"OSL","SLO","OCEANO",NA,NA,"SLO","San Luis Obispo","CA"
"237",608,"OXN","VNT","OXNARD",34.1977050003856,-119.177335999856,"VNT","Ventura","CA"
"238",609,"OSL","SLO","SAN LUIS OBISPO",35.2695609998405,-120.670379999837,"SLO","San Luis Obispo","CA"
"239",611,"SB","SBA","SANTA BARBARA",34.4234029997488,-119.704416000298,"SBA","Santa Barbara","CA"
"240",613,"VEN","VNT","VENTURA",34.2715469998944,-119.267049000111,"VNT","Ventura","CA"
"241",614,"OBV","SBA","GOLETA",34.4356230003014,-119.830621999905,"SBA","Santa Barbara","CA"
"242",616,"OBV","SBA","SUMMERLAND",NA,NA,"SBA","Santa Barbara","CA"
"243",618,"OBV","SBA","GUADALUPE",34.9638899997239,-120.573898000392,"SBA","Santa Barbara","CA"
"244",619,"OBV","SBA","CONCEPTION",34.449082384994,-120.470832967308,"SBA","Santa Barbara","CA"
